episode,speaker,line
Grandma's Kisses,Squidward,yeah your grandma
Grandma's Kisses,SpongeBob,stop it i have been publicly humiliated for the last time
Grandma's Kisses,Patrick,i'm sorry that happened to you spongebob
Grandma's Kisses,SpongeBob,me too
Grandma's Kisses,Patrick,you're the most adult person i know
Grandma's Kisses,SpongeBob,thanks patrick
Grandma's Kisses,Patrick,you know how grandmas are they love babies you just can't act like a baby around her
Grandma's Kisses,SpongeBob,you're right patrick
Grandma's Kisses,Patrick,have i ever not been right you're a man now spongebob and it's time you starting acting like one
Grandma's Kisses,SpongeBob,yeah oh but i'm not sure i know how
Grandma's Kisses,Patrick,allow me to demonstrate first puff out your chest now say tax exemption
Grandma's Kisses,SpongeBob,tax exemption
Grandma's Kisses,Patrick,now you must acquire a taste for free-form jazz okay spongebob you're ready this is it what are you going to tell grandma
Grandma's Kisses,SpongeBob,i'm a grownup
Grandma's Kisses,Patrick,no ifs ands or buts about it
Grandma's Kisses,SpongeBob,a man's gotta do what a man's gotta do
Grandma's Kisses,Patrick,and then you get behind her and i'll push
Grandma's Kisses,SpongeBob,patrick we didn't say that
Grandma's Kisses,Patrick,oh yeah right
Grandma's Kisses,SpongeBob,all we need now is the icing on the maturity cake i've been growing these babies for years
Grandma's Kisses,SpongeBob & Patrick,sideburns
Grandma's Kisses,Grandma,oh hello spongebob what a nice surprise come here and give your granny her kissy-kissy
Grandma's Kisses,SpongeBob,sorry grandmother but the kissing has to stop
Grandma's Kisses,Patrick,tell her like it is spongebob no more baby stuff
Grandma's Kisses,SpongeBob,he is right grandmother kisses are for babies which i am no longer i have grown up it is nature's way
Grandma's Kisses,Grandma,oh you are absolutely right
Grandma's Kisses,SpongeBob,i am i mean of course i am
Grandma's Kisses,Grandma,you will definitely not be treated like a baby around here anymore ever again
Grandma's Kisses,SpongeBob,i am glad you see it my way grandmother
Grandma's Kisses,Grandma,well i'm glad that's settled but what am i going to do with all these fresh baked cookies
Grandma's Kisses,SpongeBob,sorry grandmother we adults don't partake in the consumption of sweets right pat rick
Grandma's Kisses,Patrick,keep 'em coming granny
Grandma's Kisses,SpongeBob,so much for no more baby stuff
Grandma's Kisses,Grandma,and don't forget the cookie-eating hat
Grandma's Kisses,SpongeBob,hey that's my cookie-eating hat i mean it was when i was a baby
Grandma's Kisses,Grandma,well look who's here it's my big old adult grandson
Grandma's Kisses,SpongeBob,grandmother i need to have a mature conversation with mr patrick patrick what do you think you're doing cookies warm milk a bib is that a kissy mark on your forehead we are supposed to be adults
Grandma's Kisses,Grandma,oh oh no roughhousing with a full tummy who's the baby
Grandma's Kisses,Patrick,i'm the baby i'm the baby i'm the baby being grown up is boring i love being a baby besides i don't get jazz
Grandma's Kisses,SpongeBob,poor patrick i almost feel sorry for you trapped in the awkward phase of diaper days never to know the rich rewards of being a grownup
Grandma's Kisses,Grandma,here's a fresh batch of cookies
Grandma's Kisses,Patrick,all right rewards huh
Grandma's Kisses,SpongeBob,well yeah there's eh well let's see we we went over the jazz
Grandma's Kisses,Patrick,oh grandma i'm full
Grandma's Kisses,Grandma,more cookies
Grandma's Kisses,SpongeBob,it appears to be my lunch hour grownups have to eat to i guess this will have to do
Grandma's Kisses,Grandma,oh you don't want this baby food how about a big piece of steamed coral
Grandma's Kisses,SpongeBob,oh yeah uh great nutritious
Grandma's Kisses,Grandma,storytime
Grandma's Kisses,Patrick,oh boy storytime storytime storytime
Grandma's Kisses,SpongeBob,storytime
Grandma's Kisses,Grandma,you'll enjoy this patrick it's a wonderful story about a magical sea leprechaun oh spongebob you wouldn't be interested in this baby book here's the technical manual on routine active maintenance
Grandma's Kisses,SpongeBob,oh uh great yeah fascinating no pictures just the way i like it
Grandma's Kisses,Patrick,d'oh my wittle finger
Grandma's Kisses,Grandma,hold still hold still all better
Grandma's Kisses,Patrick,sorta this finger hurts a little bit too
Grandma's Kisses,Grandma,how about i give you a present
Grandma's Kisses,Patrick,oh boy i hope it's cookies alright another hat
Grandma's Kisses,Grandma,no patrick it's a sweater
Grandma's Kisses,SpongeBob,huh
Grandma's Kisses,Grandma,with love in every stitch
Grandma's Kisses,SpongeBob,no don't i get a present grandma
Grandma's Kisses,Grandma,oh i almost forgot here's some office supplies i didn't wrap them i knew you wouldn't mind uh-oh three o'clock time for adults to go to work bye-bye spongebob
Grandma's Kisses,SpongeBob,uh i don't need to leave yet i can be late for work
Grandma's Kisses,Grandma,no no no that wouldn't be the adult thing to do
Grandma's Kisses,SpongeBob,alright i guess i'll be going i've uh got a lot of adult-type business to take care of so uh i'll see yah later
Grandma's Kisses,Grandma,okay thanks for stopping by spongebob
Grandma's Kisses,SpongeBob,yep that is it here i go
Grandma's Kisses,Grandma,come again if you get the chance
Grandma's Kisses,SpongeBob,out into the cold grown-up world alone without a sweater
Grandma's Kisses,Grandma,toodleloo
Grandma's Kisses,SpongeBob,i don't know when i'll be back
Grandma's Kisses,Grandma,i know how busy you are
Grandma's Kisses,SpongeBob,so uh that's it
Grandma's Kisses,Grandma,shh he's asleep
Grandma's Kisses,SpongeBob,soo long i don't wanna grow up i want cookies and milkie i want a sweater with love in the stitches i wanna wear diadies i wanna ride in my wagon i wanna cuddle-wuddle with mister stuffykins i wanna rocky-rock on my seahorsey and i want kissy-kissy on my boo-boo
Grandma's Kisses,Grandma,take it easy spongebob spongebob spongebob you don't have to be a baby to get ol' grandma's love
Grandma's Kisses,SpongeBob,i don't
Grandma's Kisses,Grandma,of course not no matter how grown-up you get you'll always be my little baby boo and remember you can kiss your grandma and still be an adult here you go
Grandma's Kisses,SpongeBob,thanks grandma uh grandma could you not mention this to the guys down at the krusty krab
Grandma's Kisses,Grandma,no problem
Squidville,SpongeBob,patrick look i got my i'm sorry patrick it's just for a second i thought
Squidville,Patrick,hey you got the same reef blower as me tag you're it
Squidville,SpongeBob,patrick you made my house sparkling clean
Squidville,Patrick,sure did
Squidville,SpongeBob,we haven't improved squidward's day yet let's do his house my turn
Squidville,Squidward,what is going on out here
Squidville,SpongeBob,we're playing with our new reef blowers
Squidville,Squidward,playing with a reef blower that is the most childish thing i have ever heard of
Squidville,SpongeBob,but it's fun
Squidville,Squidward,fun how could playing with one of those over-sized hair dryers possibly be fun
Squidville,Patrick,like this
Squidville,Squidward,chafed alright that's
Squidville,SpongeBob,let's do your house patrick
Squidville,Patrick,yeah
Squidville,SpongeBob,squidward you're steaming you're like a steamed vegetable only smarter
Squidville,Squidward,put my windows back
Squidville,SpongeBob,no problem squidward we're on your side any second now
Squidville,Squidward,spongebob this is the final straw i am going to move so far away that i will be able to brag about it i would- i would rather tear out my brain stem carry it into the middle of the nearest four-way intersection and skip rope with it than go on living where i do now
Squidville,TV Octopus,hi there is this the final straw do you want to move so far away that you can brag about it would you rather tear out your brain stem walk out into the middle of the nearest three-way-
Squidville,Squidward,four-way
Squidville,TV Octopus,four-way intersection and skip rope with it than continue living where you do now then move to-
Squidville,Patrick,i hate this channel
Squidville,Squidward,no no
Squidville,TV Octopus,-tentacle acres where happiness is just a suction cup away
Squidville,Squidward,hello
Squidville,Guard,yes can i help you
Squidville,Squidward,i'm here about the happiness i'll be moving in now
Squidville,Guard,are you alone
Squidville,Squidward,no i mean yes there's nobody with me yes peace and quiet
Squidville,Guard,are you now or have you ever been a sponge
Squidville,Squidward,no
Squidville,Guard,what about a-
Squidville,Squidward,no no starfish just a regular normal peace-loving- heaven at last
Squidville,Other Octopus,i've seen more alert people in a retirement home
Squidville,Squidward,oh which way to the living-without-a-brain seminar don't be late
Squidville,Other Octopus,i've heard better comebacks from a turkey sandwich get a life
Squidville,Squidward,this place is even better than i expected 302 303 and 304 beautiful and not a pineapple in sight
Squidville,Squidward,good night clary tomorrow we begin life anew
Squidville,Squidward,304 new life street squidward speaking there is no way i am moving back there spongebob i am finally among my own kind now goodbye
Squidville,Squidward,ahh i think i'll take my bike today i'm my own man now these neighbors know how to live intensive hmm i bet they won't have- they have it canned bread this town is great i would really be impressed if it had--- ---an interpretive dance academy yeah it's even better in a group this town is perfect a clarinet trio aah another great day oh look everybody's on their bike today it just gets better and better all together i sorta don't feel like playing my clarinet today yep this is great they might as well rename this town squidward's paradise or perhaps too much paradise spongebob oops leaves just getting the leaves
Squidville,Squidette,would you pipe down over there iron lung
Squidville,Squidward,looks like when it comes to having fun you don't have a leg to stand on
Squidville,Squidette,hey that's not funny
Squidville,Octopus #1,yeah
Squidville,Octopus #2,what's going on over here
Squidville,Squidette,it's that guy he's playing with a reef blower
Squidville,Octopus #2,playing with a reef blower that's the most childish thing i've ever heard of
Squidville,Squidward,but it's fun
Squidville,Octopus #2,how could you possibly have fun with one of those oversized hair dryers
Squidville,Squidward,like this
Squidville,Octopus #2,give it back please
Squidville,Squidward,tag you're it
Squidville,Octopus on bike,wah le caf
Squidville,Squidette,what can i get you boys
Squidville,Octopus,what are you looking at
Squidville,Octopus #2,those
Squidville,SpongeBob,here it is patrick now we've just got to convince squidward to come back home you got the apology cake we're ready
Squidville,Patrick,ying
Squidville,Guard,hello can i help you
Squidville,Patrick,can i get a large 1 extra size
Squidville,SpongeBob,but you just ate three orders of fried oyster skins
Squidville,Patrick,i love fried oyster skins
Squidville,Guard,we're sorry but your kind isn't allowed here he's not leaving orville you got your night stick ready fried oyster skins
Squidville,Patrick,i guess we've got to order inside
Squidville,SpongeBob,hey that looked like squidward that looked like squidward also in angry mob form
Squidville,Policeman,hold it right there mr tentacles
Squidville,Squidward,stand back i've got gardening tools
Squidville,Policeman,here just read this
Squidville,Squidward,what is it
Squidville,Policeman,a well thought out and organized list of complaints
Squidville,SpongeBob,patrick look it's squidward squidward we finally found you
Squidville,Octopus,get off me i'm not squidward
Squidville,Patrick,are you squidward now
Squidville,Squidward,grievances this town is a grievance there should be a law against so many stuck-up tightwads living in one place this city needs to be destroyed or at least painted a different color
Squidville,Policeman,fyi you don't have to live here you know
Squidville,Squidward,hey you're right and i'm leaving asap
Squidville,SpongeBob,are you squidward
Squidville,Male Octopus,no
Squidville,SpongeBob,are you squidward
Squidville,Squidette,no
Squidville,Patrick,are you squidward that's ok take your time
Squidville,SpongeBob,any one of these squidward's can be the real squidward patrick
Squidville,Squidward,freedom woo-hoo
Squidville,SpongeBob,well we know one thing it sure isn't that guy
Prehibernation Week,Sandy,there we go spongebob i got all the leaves ra spongebob what are all these leaves doing here you said you were going to rake them
Prehibernation Week,SpongeBob,i am raking the leaves
Prehibernation Week,Sandy,but they're still all over the ground
Prehibernation Week,SpongeBob,sandy i can't rake any faster these are big leaves and they keep breaking into more leaves then go scrape the salt lick or somethin' we got to get this stuff done before it's too late what's the big rush anyway sandy
Prehibernation Week,Sandy,i told ya spongebob i'm hibernating next week
Prehibernation Week,SpongeBob,hibernating what's that
Prehibernation Week,Sandy,it's when i go to sleep for the whole winter
Prehibernation Week,SpongeBob,can i do that
Prehibernation Week,Sandy,no silly it's a mammalian thing
Prehibernation Week,SpongeBob,sandy you may not have noticed but i is 100 ma-male
Prehibernation Week,Sandy,enough chitter-chatter spongebob we don't have much time left
Prehibernation Week,SpongeBob,why sandy when does your carburation begin
Prehibernation Week,Sandy,in one week
Prehibernation Week,SpongeBob,but sandy that only gives us 1 2 3 168 more hours of playtime
Prehibernation Week,Sandy,you're telling me and there's still so much stuff to do we gotta climb some things
Prehibernation Week,SpongeBob,climb
Prehibernation Week,Sandy,we gotta jump off of stuff
Prehibernation Week,SpongeBob,jump
Prehibernation Week,Sandy,we gotta ride
Prehibernation Week,SpongeBob,ride
Prehibernation Week,Sandy,i don't wanna go to sleep yet
Prehibernation Week,SpongeBob,wait sandy
Prehibernation Week,Sandy,i can't burn carbs in my sleep
Prehibernation Week,SpongeBob,sandy
Prehibernation Week,Sandy,what
Prehibernation Week,SpongeBob,sandy i'm willing to sacrifice any of my time that i haven't already sold to mr krabs to you
Prehibernation Week,Sandy,well i'm glad spongebob 'cause for the next seven days it's gonna be you me and these sweatbands yee-ha
Prehibernation Week,Fish #1,uh i can explain
Prehibernation Week,Sandy,i'm hotter than a hickory-smoked sausage woo-hoo
Prehibernation Week,Girl,maybe if we sing that song he'll come to life
Prehibernation Week,Billy,ready
Prehibernation Week,Both,oh there once was a sandman
Prehibernation Week,SpongeBob,life's as extreme as you want to make it whoo
Prehibernation Week,Girl,maybe we didn't sing it right
Prehibernation Week,SpongeBob,yeah whew what a workout i'm going to be feeling this tomorrow ow
Prehibernation Week,Sandy,i got to say i'm impressed with you spongebob you're making this the best pre-hibernation week ever
Prehibernation Week,SpongeBob,well i'd better get home before gary chews up the sofa again good night gary
Prehibernation Week,Sandy,nothing like a refreshing morning dip huh spongebob
Prehibernation Week,SpongeBob,w-what h-happened to s-sleeping
Prehibernation Week,Sandy,i'll be asleep all winter we only got three days for fun well hurry now the giant clams like to feed at this hour isn't this great
Prehibernation Week,SpongeBob,yeah i've never played extreme jacks before
Prehibernation Week,Sandy,ok spongebob this one's going to be fun we just whack each other with these giant ear cleaners 'til one of us falls off on your mark get set
Prehibernation Week,SpongeBob,sandy are you sure we're supposed to be standing up here
Prehibernation Week,Sandy,go come on spongebob we're goin' for a tandem ride through the park
Prehibernation Week,SpongeBob,gee that sounds safe i mean fun ok i'm ready i thought you said we were riding through the park sandy
Prehibernation Week,Sandy,i did spongebob the industrial park this is where the real action is this part gets pretty technical yee-haw now for the speed course hold on i hope we make it i'm havin' fun too wake up slowpoke we're going fly-fishing
Prehibernation Week,SpongeBob,this squirrel's trying to kill me any more of these stunts and i'll be reduced to a puddle wait a minute i've got to talk my way out of this sandy i think i need to tell you something
Prehibernation Week,Sandy,what is it
Prehibernation Week,SpongeBob,well it's just that i'm feeling sort of i just feel like maybe i need to
Prehibernation Week,Sandy,hold that thought spongebob 'cause it's time for a down-home favorite find the hay in the needle stack did you find it
Prehibernation Week,SpongeBob,not yet
Prehibernation Week,Sandy,well i'm going to look over here
Prehibernation Week,SpongeBob,you do that
Prehibernation Week,Sandy,found it spongebob come on best two out of three
Prehibernation Week,SpongeBob,gotta hide gotta hide home no gary can't keep a secret under a rock it's so original
Prehibernation Week,Sandy,spongebob spongebob where are you little square dude spongebob's tie and all his other little dressins but but he always folds his clothes before running around in the nude something terrible must have happened to him alright listen up y'all i'm rounding up a search party spongebob's gone missing
Prehibernation Week,Mr. Krabs,man the lifeboats
Prehibernation Week,Sandy,alpha team you search uptown gold team searches downtown any questions
Prehibernation Week,Frank,gold team rules
Prehibernation Week,Sandy,now get movin' spongebob someone look up there put your doors and friends into it come on he could be anywhere in these sulfur fields
Prehibernation Week,Clay,hey spongebob well at least i still have my personality
Prehibernation Week,Sandy,check in this here moist cave
Prehibernation Week,Sandy,status report
Prehibernation Week,Small Fish,he's not at the poison sea urchin cove
Prehibernation Week,Sandy,well look again
Prehibernation Week,Vera,he's not at the leech farm
Prehibernation Week,Sandy,well look again
Prehibernation Week,Squidward,he's not in my thoughts
Prehibernation Week,Sandy,well think again attention bikini bottom the time has come to double no triple our efforts
Prehibernation Week,Squidward,how about a break we've been at it for days
Prehibernation Week,Debbie,think about the children
Prehibernation Week,Sandy,that's a good idea use the children to crawl into small places you couldn't normally reach
Prehibernation Week,Frank,this is a load of barnacles
Prehibernation Week,Sandy,i heard that no one's going anywhere until we find spongebob
Prehibernation Week,Frank,uh uh wait uh here he is
Prehibernation Week,Sandy,that ain't spongebob spongebob is square
Prehibernation Week,Francis,i'm ready i'm ready
Prehibernation Week,Sandy,no you ain't
Prehibernation Week,Clay,i found squarebob
Prehibernation Week,Sandy,that's just a cereal box besides he's yellow
Prehibernation Week,Charlie,uh here he is hey can i go home now
Prehibernation Week,Tina,oh look he's up in the sky
Prehibernation Week,Sandy,he's not huh they must have gone to search some more spongebob where are you you under there nope
Prehibernation Week,Fish #1,uhh i can explain
Prehibernation Week,Fish #9,that squirrel's gone crazy
Prehibernation Week,Woman,but she'll never look under a rock
Prehibernation Week,SpongeBob,you said it sandy'll never find us hey wait you don't understand
Prehibernation Week,Squidward,oh look it is i spongebob out here in the open
Prehibernation Week,Sandy,spongebob
Prehibernation Week,SpongeBob,c'mon let me back in you don't understand
Prehibernation Week,Sandy,oh spongebob i was so worried i thought something terrible happened come on there's just enough time to go atom smashing
Prehibernation Week,SpongeBob,sandy wait
Prehibernation Week,Sandy,there's no time to wait hibernation
Prehibernation Week,SpongeBob,sandy you've got to make time this is important i am a man ok sandy i i i i i can't play with you anymore i just can't take the games they're tearing me apart there i said it now just promise we can still be friends please sandy this isn't easy i
Prehibernation Week,SpongeBob,sandy i never thought i'd say it but thank neptune for hibernation
Prehibernation Week,Patrick,who are you people
Life of Crime,TV Announcer,and now back to crustacean crime theater
Life of Crime,Shellnapping Victim,stop thief
Life of Crime,Cop #1,which way did he go
Life of Crime,Shellnapping Victim,he went that way
Life of Crime,Cop #2,let's get em boys
Life of Crime,Thief,curses foiled again
Life of Crime,Mr. Krabs,what a no-good eel-in-a-kelp that guy was there ain't nothing worse than a thief thieves need to be locked up forever they should all be strung up by their gills and forced to breathe air
Life of Crime,SpongeBob,but mr krabs what about all the stuff you stole
Life of Crime,Mr. Krabs,what do you mean
Life of Crime,SpongeBob,like that barrel it says property of salty sea farms
Life of Crime,Mr. Krabs,oh that's where i rent me pickles from
Life of Crime,SpongeBob,are you renting the barrel too
Life of Crime,Mr. Krabs,well no
Life of Crime,SpongeBob,then you bought it
Life of Crime,Mr. Krabs,no
Life of Crime,SpongeBob,then isn't that stealing
Life of Crime,Mr. Krabs,well i uh
Life of Crime,Patrick,what about this towel from the sizzling spring sauna
Life of Crime,Mr. Krabs,um well
Life of Crime,SpongeBob,and this bikini bell phone
Life of Crime,Mr. Krabs,well uh it's
Life of Crime,Patrick,and sandy's hedge clippers
Life of Crime,Mr. Krabs,oh they're
Life of Crime,SpongeBob,and plankton's lawn mower
Life of Crime,Mr. Krabs,well he
Life of Crime,SpongeBob,even mrs puff's hair curlers
Life of Crime,Mr. Krabs,that one was a gift listen all that stuff is uh borrowed
Life of Crime,SpongeBob,borrowed well that's a relief i thought you took it without permission
Life of Crime,Mr. Krabs,ah permission shmermission you can borrow anything you want anytime as long as if you give it back before it's missed everyone knows that right
Life of Crime,SpongeBob and Patrick,okay
Life of Crime,Mr. Krabs,all right then hugs you put in a hard day's work boys
Life of Crime,Patrick,but i don't work here
Life of Crime,Mr. Krabs,see you later oh that was a close one
Life of Crime,SpongeBob,what do you want to do today
Life of Crime,Patrick,i don't know what do you want to do today
Life of Crime,SpongeBob,i don't know what do you want to do today
Life of Crime,Patrick,i don't know what do you want to do today
Life of Crime,SpongeBob,i don't know what do you want to do today
Life of Crime,Patrick,i know what i want to do today i need some money uh oh oh i don't have any money spongebob i want a balloon really really badly really really badly
Life of Crime,SpongeBob,it's okay patrick there's lots of money in the first national bank of spongebob follow me uh-oh i'm broke too and maybe we could borrow money from squidward
Life of Crime,Patrick,no wait instead of borrowing the money why don't we just borrow the balloon
Life of Crime,SpongeBob,yeah like mr krabs
Life of Crime,Patrick,it's just borrowing right
Life of Crime,SpongeBob,yeah and borrowing is okay as long as we bring it back right
Life of Crime,Patrick,right
Life of Crime,Patrick,this is so great
Life of Crime,SpongeBob,we're going to have so much fun first we can run with the balloon
Life of Crime,Patrick,yeah then we can go to the beach with the balloon
Life of Crime,SpongeBob,yeah then we can take a bike ride with the balloon then we can go to the movies and the arcade and the ice rink and the pizza shop
Life of Crime,Patrick,and the moon and the sky and under a car behind the dumpster
Life of Crime,SpongeBob,and the candy shop
Life of Crime,Patrick,and then my backyard
Life of Crime,SpongeBob,and in a plane
Life of Crime,Patrick,and over a rock
Life of Crime,SpongeBob,and under a hill
Life of Crime,Patrick,and with a whale
Life of Crime,SpongeBob and Patrick,we love borrowing
Life of Crime,SpongeBob,it popped
Life of Crime,Patrick,how are we going to return it now spongebob
Life of Crime,SpongeBob,i got the pieces
Life of Crime,Patrick,i got the air
Life of Crime,SpongeBob,hurry put the pieces on we popped the balloon
Life of Crime,Patrick,ga-heh
Life of Crime,SpongeBob,we can't return it
Life of Crime,Patrick,wha-guh
Life of Crime,SpongeBob,we're thieves
Life of Crime,Patrick,hi-yo-hoo
Life of Crime,SpongeBob,we have to confess
Life of Crime,Patrick,confess are you out of your mind do you have any idea what they do to people like us we're not talking about some dumb mail fraud scheme or a hijacking here we stole a balloon and they're going to lock us up forever
Life of Crime,SpongeBob,you're right we've just got to keep our heads act normal
Life of Crime,Frankie Billy,wow street performers
Life of Crime,SpongeBob and Patrick,it's not working
Life of Crime,Lou,hi there
Life of Crime,Lou,hey don't you want a free balloon it's national free balloon day
Life of Crime,Patrick,he's onto us
Life of Crime,SpongeBob,it's not safe for bikini bottom anymore we've got to move fast and cover our tracks
Life of Crime,Patrick,i'm on it spongebob
Life of Crime,SpongeBob,take a last look patrick we can never go back
Life of Crime,Patrick,goodbye bikini bottom
Life of Crime,SpongeBob,we've only got ourselves and what we can carry on our backs
Life of Crime,Patrick,yup
Life of Crime,SpongeBob,we're going to have to travel lighter
Life of Crime,Patrick,i wanna go home
Life of Crime,SpongeBob,we can never go home pat we're wanted men we'll spend the rest of our lives running running but at least it's warmer on the fire
Life of Crime,Patrick,hey if we're underwater how could there be a
Life of Crime,Patrick,i'm scared spongebob
Life of Crime,SpongeBob,no more nice warm beds
Life of Crime,Patrick,hey
Life of Crime,SpongeBob,no more krabby patties
Life of Crime,Patrick,oh
Life of Crime,SpongeBob,no more getting mail originally no more getting nailed followed by patrick nailing himself no more gary no more movies no more squidward no more sandy or pearl or mr krabs no more anything
Life of Crime,Patrick,i want ice cream
Life of Crime,SpongeBob,but it doesn't have to be all bad right i mean at least we have each other
Life of Crime,Patrick,yeah
Life of Crime,SpongeBob,and all that running is good for your buns and thighs right
Life of Crime,Muscleman,ya buns and thighs
Life of Crime,Patrick,and the bitter cold it's bracing isn't it
Life of Crime,SpongeBob,yeah maybe being a felon could be fun we can loosen our ties
Life of Crime,Patrick,yeah and we can fly
Life of Crime,SpongeBob,yeah
Life of Crime,SpongeBob,okay we still can't do that but at least we don't have to shave
Life of Crime,Patrick,i'm way ahead of you buddy
Life of Crime,SpongeBob,and you get to talk tough this town ain't big enough for the two of us
Life of Crime,Patrick,uh let me try uh hey punk
Life of Crime,SpongeBob,and the best part is now that we're felons we don't have to return anything we borrowed
Life of Crime,SpongeBob and Patrick,yeah
Life of Crime,Patrick,and we owe it all to you
Life of Crime,SpongeBob,what are you talking about taking the balloon was your evil plan
Life of Crime,Patrick,oh i'm nothing but a lot of talk you're the one with the sticky fingers
Life of Crime,SpongeBob,aw patrick you're the best bad influence ever
Life of Crime,Patrick,you too i wish we had something to eat though
Life of Crime,SpongeBob,look what i've got
Life of Crime,Patrick,rectangles
Life of Crime,SpongeBob,not just any rectangles candy bars
Life of Crime,Patrick,oh
Life of Crime,SpongeBob,all we have to do is make them last for the rest of our lives
Life of Crime,Patrick,thanks spongebob i think i'll eat it now i think i'll eat it now ow who where'd my candy bar go i must have dropped it
Life of Crime,SpongeBob,you just ate it pat it's all over your face
Life of Crime,Patrick,where'd it go i'm gonna starve where'd it go
Life of Crime,Patrick,i can't find it where could it possibly be ahaha
Life of Crime,SpongeBob,what
Life of Crime,Patrick,you stole my candy bar
Life of Crime,SpongeBob,no i didn't
Life of Crime,Patrick,oh so that's how it is huh once a thief always a thief
Life of Crime,SpongeBob,you ate yours this is mine
Life of Crime,Patrick,you took my only food now i'm gonna starve
Life of Crime,SpongeBob,here patrick just take half of mine
Life of Crime,Patrick,yours you mean mine
Life of Crime,SpongeBob,do you want it or what
Life of Crime,Patrick,i don't want it unless you admit you took it
Life of Crime,SpongeBob,this is my candy bar
Life of Crime,Patrick,liar liar plants for hire
Life of Crime,SpongeBob,it's pants on fire patrick
Life of Crime,Patrick,well you would know liar
Life of Crime,SpongeBob,well if you're going to be that way i'll eat it myself
Life of Crime,Patrick,you better not i'm warning you
Life of Crime,Patrick,don't
Life of Crime,Patrick,stop it
Life of Crime,Patrick,don't oh
Life of Crime,Patrick,ah ah you're a crazy person i should have expected this after the way you stole that balloon
Life of Crime,SpongeBob,did i patrick did i or did your criminal mind hypnotize me to steal it
Life of Crime,Patrick,oh that's it
Life of Crime,Patrick,first the balloon now my candy bar you're out of control i'm i'm telling on you
Life of Crime,SpongeBob,not if i tell on you first
Life of Crime,Patrick,i'll beat you there
Life of Crime,SpongeBob,you're going to get in trouble
Life of Crime,Patrick,no you are
Life of Crime,SpongeBob and Patrick,he when him and the balloon and the boom i
Life of Crime,Officer Rob,what can i do for you boys
Life of Crime,SpongeBob and Patrick,we stole a balloon both start sobbing
Life of Crime,Patrick,i'm not good
Life of Crime,SpongeBob,we stole a balloon
Life of Crime,Officer John,what's the problem here
Life of Crime,Officer Rob,well it appears these two stole a balloon
Life of Crime,SpongeBob,what are you going to do to us
Life of Crime,Officer Rob,okay follow me if you can't do the time don't do the crime okay time's up now get out
Life of Crime,SpongeBob,but but we stole a balloon
Life of Crime,Officer Rob,yeah on free balloon day
Life of Crime,SpongeBob,let's vow never to borrow anything without permission again
Life of Crime,Patrick,you said it
Life of Crime,Patrick,all right which one of you flatfoots stole my lollipop i mean it
Christmas Who?,Narrator,and now direct from encino america's favorite pirate and president of the spongebob squarepants fan club patchy the pirate
Christmas Who?,Patchy,yo ho ho yo ho ho yo ho ho ho ho ho oh hi i'm patchy the pirate president of the spongebob squarepants fan club hey that's better
Christmas Who?,Potty,merry christmas merry christmas
Christmas Who?,Patchy,that's right potty it is christmas and there ain't nothing better in the seven seas than a bikini bottom christmas it sure is a magical time of year why i'll bet old spongebob is gearing up for santa claus right now
Christmas Who?,SpongeBob,i sure am i'm ready
Christmas Who?,Patchy,not bad for a creature with no vertebrae and i'm sure our pal patrick is doing his share of the decorating i too am also preparing for christmas hmm unbaked cookie dough mmm
Christmas Who?,Potty,potty want cookie dough cookie
Christmas Who?,Patchy,potty no
Christmas Who?,Potty,cookie
Christmas Who?,Patchy,get out of here
Christmas Who?,Potty,cookie
Christmas Who?,Patchy,potty
Christmas Who?,Potty,give us a lick
Christmas Who?,Patchy,back off you flying freak
Christmas Who?,Potty,clarify please
Christmas Who?,Patchy,this here cookie dough is for the children not for pesky parrots what's that three bells well we all know what three bells means
Christmas Who?,Children,free ice cream
Christmas Who?,Patchy,no you silly livers no
Christmas Who?,Potty,man overboard
Christmas Who?,Patchy,you i'm ignoring no it means it's time to open fan letters
Christmas Who?,Potty,here you go
Christmas Who?,Patchy,thank you potty yeah okay potty thank you come on give it you birdbrain quiet infernal bird hmm this letter comes to us from
Christmas Who?,Fish Head,name and address withheld
Christmas Who?,Patchy,and he writes dear spongebob i am ten years old and i was wondering if you like christmas as much as i do sincerely yours
Christmas Who?,Fish Head,name and address withheld
Christmas Who?,Patchy,a very good question but you know they didn't always celebrate christmas in bikini bottom
Christmas Who?,Potty,they didn't
Christmas Who?,Patchy,no sir my fine feathered little neck pain there was a time when no one had even heard of christmas in bikini bottom hey who wants to hear the story of spongebob's very first christmas potty you ate all me cookie dough
Christmas Who?,Potty,squ-ouch
Christmas Who?,Patchy,oh well on with the show
Christmas Who?,SpongeBob,today i'm gonna sneak up and get that sandy with a super sneaky karate move
Christmas Who?,SpongeBob,what diabolical act is she committing now fire don't worry sandy i'm coming stand back sandy fire huh so i guess there's no fire
Christmas Who?,Sandy,what in the name of the alamo is wrong with you spongebob ain't you never seen a christmas tree before
Christmas Who?,SpongeBob,christmas who
Christmas Who?,Sandy,what y'all never heard of christmas
Christmas Who?,SpongeBob,is she a friend from texas
Christmas Who?,Sandy,no i can't believe you haven't heard of christmas
Christmas Who?,SpongeBob,tell me more about this christmas
Christmas Who?,Patchy,and so sandy wove the magical tale of gumdrops and pennywhistles she told of toy-making elves and flying reindeer but best of all she told of the one they call santa claus
Christmas Who?,SpongeBob,and everyone pretends to like the fruitcake
